Sub_ID,Act,timestamp,X,Y,Z
1637,A,16591279329490,12.868535,-1.4480431,0.02498948
1637,A,16591328829490,10.689812,-2.3937528,0.69057757
1637,A,16591378329490,9.665093,-2.2692542,1.5907974
1637,A,16591427829490,8.412926,-0.5645827,2.416797
1637,A,16591477329490,8.242937,-0.66035074,4.894796
1637,A,16591526829490,9.636363,-2.1423616,4.837335
1637,A,16591576329490,10.778397,-3.7823899,4.1214685
1637,A,16591625829490,10.376171,-3.5764885,4.7391725
1637,A,16591675329490,9.037812,-1.8335096,4.284274
1637,A,16591724829490,8.86543,-1.3379098,4.7056537
1637,A,16591774329490,8.379407,-2.31235,5.907543
1637,A,16591823829490,10.436026,-3.667468,5.562778
1637,A,16591873329490,9.327511,-3.490297,4.1071033
1637,A,16591922829490,12.468703,-3.346645,0.26201546
1637,A,16591972329490,13.131897,-1.3618518,2.641852
1637,A,16592021829490,12.708123,-1.8789995,2.9602807
1637,A,16592071329490,10.495881,-2.396147,3.130269
1637,A,16592120829490,10.711359,-2.846257,1.1454759
1637,A,16592170431740,10.639533,-3.8159087,0.4846762
1637,A,16592220033990,8.822334,-2.7073932,0.70254856
1637,A,16592269636240,7.658752,-2.1926398,1.0449194
1637,A,16592319238490,8.872612,-2.0082862,1.5716438
1637,A,16592368840740,8.769662,-1.304391,1.3537714
1637,A,16592418442990,11.81748,-1.6850691,1.2436382
1637,A,16592468045240,10.668263,-3.0641294,2.1462522
1637,A,16592517647490,9.296386,-2.3578398,2.6107273
1637,A,16592567249740,7.886201,-2.0681415,2.3880665
1637,A,16592616851990,7.577349,-1.7832314,2.593968
1637,A,16592666454240,9.859023,-3.1263785,3.0033765
1637,A,16592716056490,11.59482,-5.065682,4.4422917
1637,A,16592765658740,12.305898,-6.720075,5.768679
1637,A,16592815260990,11.125556,-6.1311016,5.66094
1637,A,16592864863240,10.653898,-1.8933647,6.4677863
1637,A,16592914465490,10.450391,-1.6060604,5.5125
1637,A,16592964067740,10.117598,-3.7464767,6.2092123
1637,A,16593013669990,9.669882,-3.9380128,4.336947
1637,A,16593063272240,13.172599,-3.1958103,2.9363387
1637,A,16593112874490,13.816639,-1.6707039,3.6689644
1637,A,16593162476740,12.368147,-0.65795654,3.9035962
1637,A,16593212145260,11.558907,-1.4312837,2.321029
1637,A,16593261813780,11.273996,-2.942025,1.0137948
1637,A,16593311482300,10.481516,-3.6459203,0.40566754
1637,A,16593361150820,9.353847,-4.0122333,0.72649056
1637,A,16593410819340,8.645164,-4.258836,0.9108441
1637,A,16593460487860,8.657134,-3.238906,0.68578917
1637,A,16593510156380,7.3570824,-2.6379614,1.408838
1637,A,16593559824900,7.337929,-4.3977,3.8748658
1637,A,16593609493420,8.319551,-5.3697457,5.7255836
1637,A,16593659161940,7.9628158,-6.9451303,5.0336595
1637,A,16593708830460,4.666,-6.3633394,6.8029747
1637,A,16593758498980,2.2861633,-8.237999,4.930709
1637,A,16593808167500,-0.1654992,-10.179697,1.4639047
1637,A,16593857836020,0.07631518,-11.029638,0.07766192
1637,A,16593907504540,0.6628946,-12.114212,-1.37083
1637,A,16593957173060,1.6612767,-10.471789,-1.2319664
1637,A,16594006841580,2.3939025,-10.237158,-3.0108583
1637,A,16594056510100,3.2701802,-7.122301,-3.4753335
1637,A,16594106178620,3.4904468,-7.962666,-4.8089037
1637,A,16594155847140,5.226243,-6.3872814,-6.0514946
1637,A,16594205515660,4.4936175,-5.245247,-5.8048916
1637,A,16594255227860,2.7626095,-6.7224693,-5.072266
1637,A,16594304940060,1.8983027,-5.8629513,-6.6069493
1637,A,16594354652260,1.6157869,-5.649867,-5.3428106
1637,A,16594404364460,1.4338275,-5.7264814,-4.8879123
1637,A,16594454076660,1.558326,-7.1653967,-6.638074
1637,A,16594503788860,1.8935143,-7.5053735,-6.3148565
1637,A,16594553501060,1.4888942,-6.9235826,-6.7170825
1637,A,16594603213260,2.542343,-7.5867763,-7.5311112
1637,A,16594652925460,2.853589,-8.364892,-8.953267
1637,A,16594702637660,3.2342672,-7.3641157,-9.377041
1637,A,16594752349860,2.8631659,-6.0233626,-7.478439
1637,A,16594802062060,1.3787609,-5.5804353,-6.1975408
1637,A,16594851774260,0.75626844,-5.044134,-5.203947
1637,A,16594901486460,0.15292963,-7.1246953,-6.0610714
1637,A,16594951198660,0.2582745,-7.536498,-4.6844053
1637,A,16595000910860,0.081103586,-8.525303,-4.6030025
1637,A,16595050623060,-0.012270284,-7.170185,-2.3524528
1637,A,16595100335260,-0.35703534,-9.229198,-2.6876411
1637,A,16595150047460,-0.37140054,-9.353697,-4.483292
1637,A,16595199759660,0.102651395,-11.522844,-7.555053
1637,A,16595249471860,2.1113865,-11.285818,-7.0810013
1637,A,16595299209270,1.7115549,-7.641843,-4.6389155
1637,A,16595348946680,1.1824363,-5.7408466,-3.920655
1637,A,16595398684090,1.3236942,-8.19251,-5.6851816
1637,A,16595448421500,1.285387,-5.515792,-3.3268929
1637,A,16595498158910,1.3620015,-6.8206315,-3.8105216
1637,A,16595547896320,1.8384476,-7.390452,-3.4657567
1637,A,16595597633730,2.520795,-8.367286,-3.3963246
1637,A,16595647371140,2.7913399,-8.800636,-2.7307367
1637,A,16595697108550,4.582203,-10.799795,-3.7123594
1637,A,16595746845960,5.07062,-10.361656,-5.1584573
1637,A,16595796583370,4.2565913,-10.234763,-5.486463
1637,A,16595846320780,3.7226844,-9.250747,-6.058677
1637,A,16595896058190,2.5591023,-7.8932343,-5.9365726
1637,A,16595945795600,2.1305401,-6.504597,-4.7251067
1637,A,16595995533010,1.3931261,-6.0066032,-3.9876926
1637,A,16596045270420,1.0770915,-6.6027594,-4.3468227
1637,A,16596095007830,2.5710733,-8.376863,-3.7602434
1637,A,16596144745240,4.02196,-7.775918,-2.0412066
1637,A,16596194482650,3.8160582,-9.451859,-3.3556232
1637,A,16596244220060,3.2486324,-9.265112,-1.1960534
1637,A,16596293957470,3.9812582,-10.93387,-0.42512044
1637,A,16596343715410,5.606921,-10.7734585,-0.0947206
1637,A,16596393473350,9.705794,-4.4048824,1.9523219
1637,A,16596443231290,10.234913,-3.9930794,1.9738697
1637,A,16596492989230,9.966763,-6.729652,2.6610055
1637,A,16596542747170,9.648334,-3.8063319,0.36496612
1637,A,16596592505110,7.278074,-5.745635,0.39130235
1637,A,16596642263050,4.4720693,-7.7711296,0.14469956
1637,A,16596692020990,4.668394,-6.7464113,0.5876269
1637,A,16596741778930,6.1073093,-3.5501523,2.4359505
1637,A,16596791536870,8.664317,-3.6602855,1.4471453
1637,A,16596841294810,12.95712,-5.295525,1.2316672
1637,A,16596891052750,14.625879,-6.5093856,-0.44906247
1637,A,16596940810690,15.257948,-1.8359038,1.0114006
1637,A,16596990568630,11.781568,-1.0937012,-0.3628712
1637,A,16597040326570,7.5103116,-0.19108722,1.5884032
1637,A,16597090084510,5.9109845,-3.2077813,0.68100077
1637,A,16597139842450,5.843947,-3.514239,1.0329484
1637,A,16597189600390,6.054637,-4.6323314,1.4136264
1637,A,16597239358330,6.8471174,-5.781548,0.39369655
1637,A,16597289116270,7.3977838,-6.4854436,2.5748143
1637,A,16597338874210,7.294833,-7.4670663,2.6466403
